id,change_area_fraction,change_ssim,change_rmse,localization_iou,background_ssim,composite_score,error
28\79,0.10912808641975309,0.7499844087572163,54.104036686802566,0.10272385029895918,0.7491374009064684,0.5632477697127993,
28\85,0.11659722222222223,0.6782775273759983,66.12542102453008,0.04464274592359147,0.7811622482769691,0.5161012202868652,
276\46,0.7761873070987654,0.5212052142770863,77.24139265764279,0.2533432778158088,0.8142424751431819,0.5199796951758332,
276\75,0.7759789737654321,0.5877457495267309,66.47920986696887,0.11211200006396349,0.7841816794508595,0.5048313075127668,
272\54,0.25077546296296294,0.6122574399836063,104.8515020462103,0.14029604490975794,0.7540951876146463,0.4872567234162804,
269\31,0.4968624614197531,0.469730783182872,134.05536664814318,0.6129352282163089,0.9123785955400382,0.5800016678721442,
269\94,0.32371913580246914,0.43320606010833956,130.2616340392879,0.3748173828499789,0.9267971885529298,0.5009209266940575,
268\100,0.3804243827160494,0.393186372859114,137.40566228943044,0.2544607009896447,0.806680179347951,0.42718632080610497,
267\44,0.30427854938271603,0.35461947377405834,85.14112226317478,0.2812016142571992,0.7812462889945029,0.45888689265260874,
266\56,0.07651765046296297,0.2880640550954512,87.93701772464449,0.17357539234909797,0.7581656256516675,0.3976496708557741,
26\109,0.19733603395061727,0.507642144635378,52.564066843667554,0.3279699740347059,0.7075324602056727,0.5409688927705725,
250\14,0.6063358410493828,0.6994718741740877,44.83605135677096,0.9139410802798487,0.900244236982727,0.8188685851163956,
250\15,0.6065258487654321,0.48209332089031504,139.51878556102037,0.3338146807578102,0.8894888856540581,0.4928739009078304,
249\70,0.27794367283950616,0.3904966661515459,77.8863600699716,0.368053308638945,0.8937017159861728,0.5200577419113002,
248\30,0.24855275848765432,0.29682373837339987,130.01970011913883,0.3236021523554066,0.812064373289334,0.4208023747431522,
247\36,0.3894429976851852,0.47316816259547123,138.30061272304346,0.23885162738580687,0.7844029182400672,0.44645371405778006,
247\74,0.32058786651234567,0.43145290055631996,105.61416738256598,0.4258628655288618,0.9051170248359637,0.5317002874943996,
242\20,0.09296875,0.44196329501905124,78.72779715065992,0.18053043311424016,0.7320543259429587,0.4569071401995133,
241\41,0.32849778163580245,0.3876882124320365,83.38494403746795,0.2621845575885797,0.8492318891157191,0.47633106888732657,
241\73,0.531027199074074,0.4844815607555381,69.42687700340375,0.32617163956826084,0.839612108278399,0.5389094018249871,
240\105,0.46784577546296297,0.5575473663978877,95.5160881499938,0.4187230194953702,0.7106292900786713,0.5524382986585008,
240\123,0.46793788580246914,0.5840064516274575,95.87171570684883,0.38738603511324693,0.7203623820437711,0.5534789233949743,
240\5,0.4680029899691358,0.5529463339842355,94.55327500199823,0.20711460144287883,0.6794206227838203,0.4834192593708029,
24\24,0.11500916280864197,0.23109797817566283,65.56591805641257,0.32679554871624755,0.7867973888761023,0.4455183158517617,
24\78,0.10818769290123456,0.4782054338122202,54.78021703127257,0.31231668790658496,0.7681913264240864,0.5333307310669066,
238\91,0.17615065586419754,0.6942301952799611,81.83448307835756,0.1323277072747236,0.7919001648985252,0.5372799969684312,
235\110,0.40662085262345676,0.3656296307512014,133.64328483933463,0.25725249135824796,0.767017850603557,0.4153805331418424,
235\7,0.40662085262345676,0.4093989512231312,138.170693986893,0.3972318733768513,0.7267696673909116,0.4631054732953621,
232\122,0.06275848765432099,0.39877566291047795,93.18058101814741,0.12628537739224008,0.759180718724033,0.41825139440326004,
23\119,0.6357609953703703,0.442981678697705,132.6009176194712,0.43005292944069895,0.8675193677615683,0.5101866518390956,
228\42,0.37667824074074074,0.385543522323314,147.54312778505425,0.30250240756947167,0.7526261647767476,0.4228647795769416,
228\60,0.3641372492283951,0.3308530531358499,158.269788035245,0.3236955985347429,0.7749478274751722,0.4050162551927795,
228\76,0.3623239776234568,0.30112869487634564,157.73672306282847,0.23210878781360053,0.7668112602792281,0.366334291680663,
226\71,0.47763310185185187,0.3254381275676237,131.69929755063362,0.5409013609994343,0.8438651287064959,0.49945995554809364,
222\66,0.318070987654321,0.2531292615504474,159.90748887447438,0.29758887194366834,0.7728478131281918,0.3683814367620648,
222\8,0.3149763695987654,0.2398180913570167,158.80592529385197,0.25181956286394014,0.8085495268040261,0.356210962957603,
21\103,0.4678679591049383,0.5601292262942085,91.09683913043112,0.2039237483681522,0.670561722113966,0.486358110751744,
21\18,0.46804012345679014,0.549677752505463,94.2793015217061,0.17708801805029384,0.7209898746579023,0.47971754977758274,
21\23,0.4826533564814815,0.5353221894584356,110.24987597947342,0.17556962775291868,0.6427131543633477,0.4499701368265373,
21\4,0.38137104552469137,0.37059168151736377,100.02720451999228,0.39481188230827186,0.7087339038308277,0.4760080293707381,
21\59,0.4828313078703704,0.529125202203227,115.13614028056388,0.45713408578683523,0.713127119366025,0.5390002592900729,
21\62,0.4679224537037037,0.5627765059490211,89.0585704578654,0.1966569633425098,0.6677795378597874,0.4862859375812389,
21\88,0.4679224537037037,0.5757000330651088,95.801032052644,0.414137647737769,0.7366528976030626,0.5610961761795632,
204\57,0.20798755787037038,0.33113203437372507,91.79052199293236,0.40260516678701425,0.7869944227756198,0.4827343592142845,
2\52,0.2413204089506173,0.33863762938676367,84.2151867167495,0.3555328890243744,0.8738798928772129,0.4902138940875953,
199\101,0.03701485339506173,0.15620751258394142,112.13982566012689,0.07793438877101355,0.6942385665814821,0.2942359265835907,
197\3,0.11273485725308642,0.4280220030197999,53.703801436694455,0.20679871186780688,0.7787743523906383,0.4865428388980682,
195\11,0.3387818287037037,0.3418173052681864,146.67936356669054,0.23063653613938243,0.8164602644119648,0.3962534192559527,
195\113,0.3387818287037037,0.31156613971195707,151.1571565592654,0.210184513000215,0.8343874640834897,0.37870698981627066,
195\116,0.2991546103395062,0.31194516209235235,158.4449846454475,0.2879316678912564,0.8215067661149149,0.3945157458244296,
195\16,0.3387818287037037,0.3395882113581423,148.94391436207906,0.2294581222470332,0.8001096263995408,0.39089099824697593,
195\72,0.21278163580246914,0.3278193353975571,85.08854460398169,0.3887082640634853,0.8282067322056272,0.488844143024147,
192\34,0.27598620756172837,0.25511455936046756,89.3465283571506,0.22940417644648112,0.7498137890136486,0.40050770854674306,
191\58,0.050257523148148145,0.39506466745392876,115.81211583793012,0.02962253436506483,0.6991643573326917,0.36120101548854916,
191\82,0.06495032793209876,0.3024242134430584,74.52898307448675,0.08301103341966573,0.7145854807859753,0.37948550247672,
19\106,0.17009452160493826,0.6522633431782415,89.43397834114623,0.055009890305380116,0.7358392341844182,0.4850267255935074,
185\117,0.03962239583333333,0.2697771351958712,97.94413707566214,0.07220763805641121,0.773660255830312,0.3553143960702901,
185\89,0.03629870756172839,0.323523991440927,90.54712736604651,0.0701176097075865,0.757834404201857,0.3769264857499797,
182\63,0.36781587577160496,0.29703710463180466,94.61965959166284,0.2141724825955261,0.8055827018062033,0.4148406389517687,
174\95,0.20023244598765433,0.5288376877305254,50.859101338046365,0.3277845583704341,0.7217851013347413,0.5518068321714987,
173\125,0.324468074845679,0.30639643636526803,158.0265044704517,0.3015967669927608,0.840459503518644,0.39984435190605555,
171\93,0.6320529513888888,0.4232311851389184,131.49038749127973,0.4861945504267395,0.8840326964366721,0.523464468712709,
